name,asins,categories,primaryCategories,imageURLs,manufacturer,reviews.date,reviews.doRecommend,reviews.numHelpful,reviews.rating,reviews.sourceURLs,reviews.text,reviews.title,reviews.username,latitude,longitude,location,zipcode
AmazonBasics Backpack for Laptops up to 17-inches,"B00EEBS9O0,B01CHQHIJK","Portable Computer Accessories,Bags, Cases & Sleeves,Accessories,Computers & Accessories,Laptop Accessories,Electronics,Backpacks",Electronics,https://m.media-amazon.com/images/I/81vfzNUAXEL._AC_SL1500_.jpg,AmazonBasics,2014-07-16T05:00:00Z,Unavailable,Unavailable,4,http://www.amazon.com/product-reviews/B00EEBS9O0/,"Lots of pockets, but zipper covers actually make opening and closing a bit more difficult.",Nice Bag and great price,agtarantino,39.71734,-74.96933,"('Greenpoint', 'US', 'America/New_York')",50995
AmazonBasics External Hard Drive Case,"B00F5CKWBA,B00KPQCWAU","Electronics Features,Drives, Storage & Blank Media,Hard Drive Pouches,Computers & Accessories,Computer Accessories & Peripherals,Hard Drive Accessories,Electronics,Computers Features,Personal Computer,Accessories,Hard Drive Bags Cases,Computers/Tablets & Networking,Drive Enclosures & Docks,Laptop & Desktop Accessories,Hard Drive Bags & Cases,Carrying Case Or Bag",Electronics,https://m.media-amazon.com/images/I/81kRZpUPL-S._AC_SL1500_.jpg,AmazonBasics,2014-03-19T05:00:00Z,Unavailable,Unavailable,5,http://www.amazon.co.uk/gp/product-reviews/B00F5CKWBA?ie=UTF8&showViewpoints=1,"I have the Western Digital My Passport Ultra 2TB USB 3.0 Portable Drive 2.5 (laptop size) external hard drive. The hard drives case is mostly plastic with a thin pretty metal sheet top that's more for aesthetics than protection. I originally bought the matching extra-tough pod like WD Nomad Rugged case that offers great protection. Once fitted into the Nomad, the drive stays in the sealed protective case with only the USB3 port accessible behind a rubber flap - and given the light-weight feel of the WD Passports plastic drive case the extra protection of the Nomad was reassuring. However there's a big negative negative in that the case has nowhere to store the short 40cm USB3 cable (plus the Nomad pod hides the drive LEDs). As an alternative I tried this cheap Amazon Basic 2.5 external hard drive case.The AmazonBasics case is less ruggedised, but the My Passport Ultra drive fitted the case perfectly, and very usefully the case has plenty of space for storing the USB3 cable (it fits in behind a netted pocket on the top flap). The hard drive itself is held in by a strap to prevent the drive slipping out when you open the case. Laptop size 2.5 hard drives have extra shock protection over their 3.5 desktop versions, being designed for portable use, so this AmazonBasics case offers more than adequate protection when traveling (I slip my case into the backpack when commuting). I now find I'm using the case in preference to the Nomad version simply as it's far more convenient for keeping tabs on the drive's USB3 cable. This AmazonBasics case works well, seems well made, and it's very cheap at 7, so 5* for function and value.",A perfect fit for my Western Digital 'My Passport Ultra 2TB USB3' drive and lots of room for the USB cable,KeithJoseph,32.52515,-93.75018,"('Greenpoint', 'US', 'America/New_York')",99847
AmazonBasics AAA Performance Alkaline Batteries (36 Count),"B00QWO9P0O,B00LH3DMUO","AA,AAA,Health,Electronics,Health & Household,Camcorder Batteries,Camera & Photo,Batteries,Household Batteries,Robot Check,Accessories,Camera Batteries,Health and Beauty,Household Supplies,Batteries & Chargers,Health, Household & Baby Care,Health Personal Care",Health & Beauty,https://m.media-amazon.com/images/I/71nDX36Y9UL._AC_SL1026_.jpg,AmazonBasics,2017-03-07T00:00:00.000Z,Unavailable,Unavailable,1,https://www.amazon.com/product-reviews/B00QWO9P0O/,I don't know if I would buy thus brand again seems like they don't last as long as Duracell,... know if I would buy thus brand again seems like they don't last as long as Duracell,ByLaura,43.1566,-77.6088,"('Greenpoint', 'US', 'America/New_York')",14623
AmazonBasics 15.6-Inch Laptop and Tablet Bag,B00DUGZFWY,"Bags, Cases & Sleeves,Computers & Accessories,See more AmazonBasics 15.6 Inch Laptop And Tablet Bag -...,Electronics,Tablet Accessories,Accessories,Computers/Tablets & Networking,Messenger Bags,Bags,Laptop & Desktop Accessories,Laptop Cases & Bags,Laptop Accessories,Cases,computers,Backpacks",Electronics,https://m.media-amazon.com/images/I/91Q4MPJX2iL._AC_SL1500_.jpg,AmazonBasics,2014-02-22T06:00:00Z,Unavailable,Unavailable,4,http://www.amazon.co.uk/gp/product-reviews/B00DUGZFWY%25253Fie%25253DUTF8%252526showViewpoints%25253D1,"Cheap but doesn't appear it particularly. Does it's job fine, plenty of pockets and space, much prefer it to the back pack style",Just what I wanted,sally whitehead,34.63915,-120.45794,"('Greenpoint', 'US', 'America/New_York')",5807
Fire TV Stick Streaming Media Player Pair Kit,B00ZV9RDKK,"Electronics,TVs Entertainment,Featured Brands,Other TV, Video & Audio Accs,College Tvs & Home Theater,Streaming Media Players,Fire TV,TVs Entertainment xbqxrzdteyyb,Ways To Shop,Amazon SMP,Electronics Features,TVs & Home Theater,TV, Video & Home Audio,On To College,Media Streamers,TV & Home Theater,TV, Video & Audio Accessories,Digital Device 4,All Streaming Media Players,College Electronics,Video Devices & TV Tuners,Consumer Electronics,TV & Video,Streaming Devices,Back To College,Amazon Devices,Amazon,Holiday Shop",Electronics,https://m.media-amazon.com/images/I/51P6jWMGzYL._AC_SL1000_.jpg,Amazon,2018-07-15T00:00:00.000Z,Unavailable,1,5,https://www.newegg.com/Product/Product.aspx?Item=9SIA9586MT5898,"Pros: Works good like Alexia Cons: setting it up is a , HASLE had to call verizon three times Other Thoughts: I WOULD RECOMMEND IT",Fire stick,John Z.,43.61062,-72.97261,"('Greenpoint', 'US', 'America/New_York')",34437
AmazonBasics AAA Performance Alkaline Batteries (36 Count),"B00QWO9P0O,B00LH3DMUO","AA,AAA,Health,Electronics,Health & Household,Camcorder Batteries,Camera & Photo,Batteries,Household Batteries,Robot Check,Accessories,Camera Batteries,Health and Beauty,Household Supplies,Batteries & Chargers,Health, Household & Baby Care,Health Personal Care",Health & Beauty,https://m.media-amazon.com/images/I/71nDX36Y9UL._AC_SL1026_.jpg,AmazonBasics,2017-04-16T00:00:00.000Z,Unavailable,Unavailable,5,https://www.amazon.com/product-reviews/B00QWO9P0O/,Well if you are looking for cheap non-rechargeable batteries that last quite a while then these are perfect. Nothing more to say.,... batteries that last quite a while then these are perfect. Nothing more to say,ByLynn Pendegrass,43.1566,-77.6088,"('Greenpoint', 'US', 'America/New_York')",14623
"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Black","B018SZT3BK,B01AHB9CN2","Fire Tablets,Computers/Tablets & Networking,Electronics Features,Tablets,All Tablets,Amazon Tablets,Computers & Tablets,Electronics,iPad & Tablets,Tablets & eBook Readers",Electronics,https://m.media-amazon.com/images/I/71GletxnoxS._AC_SL1500_.jpg,Amazon,2016-11-17T00:00:00.000Z,TRUE,0,5,"http://reviews.bestbuy.com/3545/5538501/reviews.htm?format=embedded&page=314,http://reviews.bestbuy.com/3545/5538501/reviews.htm?format=embedded&page=306",The Kindle Fire has great features for the price. The video quality is asstounding.,A good value,Kari93,34.95303,-120.43572,"('Greenpoint', 'US', 'America/New_York')",64192
AmazonBasics Bluetooth Keyboard for Android Devices - Black,B005OOKNP4,"Electronics Features,Computers & Accessories,Computer Accessories & Peripherals,Keyboards,Electronics,Amazon Device Accessories,Digital Device Accessory,Keyboards, Mice & Accessories,Tablet Accessories,14701001",Electronics,https://m.media-amazon.com/images/I/71n2pw4Ko6L._AC_SL1500_.jpg,AmazonBasics,2012-10-30T00:00:00Z,Unavailable,Unavailable,5,http://www.amazon.com/AmazonBasics-Bluetooth-Keyboard-Android-Devices/dp/B005OOKNP4,Read more,"previous problems with Fire HD 7 now fixed, great little keyboard",Donald M. Shepherd,47.92526,-97.03285,"('Greenpoint', 'US', 'America/New_York')",53576
AmazonBasics Nespresso Pod Storage Drawer - 50 Capsule Capacity,B010RLCH2U,"Home & Garden,Kitchen Storage & Organization,Kitchen, Dining & Bar,Kitchen & Dining Features,Food Storage,Racks & Holders,Kitchen & Dining,Home Kitchen Features,Home & Kitchen Features,Home & Kitchen,Kitchen,Coffee Pod Holders,Kitchen Dining Features,Storage & Organization",Home & Garden,https://m.media-amazon.com/images/I/81wa+88fGWL._AC_SL1500_.jpg,AmazonBasics,2017-12-21T00:00:00.000Z,Unavailable,Unavailable,5,https://www.ebay.com/itm/Nespresso-Capsule-Storage-Drawer-50-Capsule-Coffee-Holder/273231454723,I work for Nespresso so I have a lot of capsules. I absolutely LOVE the capsule drawers. So much neater than having the sleeves piled on top of each other.,Nespresso capsule drawer,sheilajw1,43.1566,-77.6088,"('Greenpoint', 'US', 'America/New_York')",14623
"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Black","B018SZT3BK,B01AHB9CN2","Fire Tablets,Computers/Tablets & Networking,Electronics Features,Tablets,All Tablets,Amazon Tablets,Computers & Tablets,Electronics,iPad & Tablets,Tablets & eBook Readers",Electronics,https://m.media-amazon.com/images/I/71GletxnoxS._AC_SL1500_.jpg,Amazon,2016-12-30T00:00:00.000Z,FALSE,0,3,"http://reviews.bestbuy.com/3545/5538501/reviews.htm?format=embedded&page=214,http://reviews.bestbuy.com/3545/5538501/reviews.htm?format=embedded&page=280,http://reviews.bestbuy.com/3545/5620406/reviews.htm?format=embedded&page=249",I was hoping to use Google launcher with this tablet but it is really locked down and you cannot change the launcher or the lock screen. Still cheap and fine for watching movies.,A cheap tablet,blargh22,40.94065,-73.99681,"('Greenpoint', 'US', 'America/New_York')",62969
